Tend Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.0243744 34.0723 63.7869 15.2042 0.30679 0.308311 12.2248 1.911 1.75677
0.0255291 33.9131 63.4889 15.2577 0.306777 0.308299 12.2303 1.91671 1.75346
0.0267384 33.7513 63.1858 15.3125 0.306776 0.308297 12.2085 1.92245 1.74515
0.028005 33.5869 62.8781 15.3687 0.306789 0.308311 12.1807 1.92654 1.73986
0.0293317 33.42 62.5656 15.4262 0.30681 0.308332 12.1404 1.93046 1.73192
0.0307211 33.2507 62.2487 15.4851 0.306828 0.308349 12.0637 1.93287 1.72075
0.0321764 33.0786 61.9266 15.5455 0.306856 0.308378 12.021 1.93565 1.71409
0.0337006 32.9041 61.5999 15.6073 0.306889 0.30841 11.9319 1.93614 1.70326
0.0352971 32.7271 61.2685 15.6706 0.306926 0.308447 11.831 1.93503 1.69354
0.0369691 32.5473 60.932 15.7354 0.306965 0.308487 11.7139 1.93284 1.68197
0.0387204 32.3649 60.5904 15.8019 0.306995 0.308517 11.5991 1.9299 1.67191
0.0405546 32.1797 60.2436 15.8701 0.307033 0.308555 11.469 1.92511 1.662
0.0424757 31.9917 59.8917 15.94 0.307072 0.308594 11.3408 1.91884 1.65519
0.0444878 31.8006 59.534 16.0117 0.307095 0.308617 11.1884 1.91122 1.64481
0.0465953 31.6066 59.1708 16.0854 0.307121 0.308644 11.0097 1.9011 1.63674
0.0488025 31.4091 58.8011 16.1612 0.307125 0.308647 10.8532 1.89008 1.63227
0.0511143 31.2082 58.425 16.2391 0.307109 0.308631 10.6622 1.87718 1.62622
0.0535357 31.0036 58.0419 16.3195 0.307076 0.308598 10.4901 1.86373 1.62442
0.0560717 30.7949 57.6511 16.4024 0.307016 0.308538 10.288 1.84781 1.623
0.0587279 30.5819 57.2524 16.488 0.306933 0.308454 10.091 1.83103 1.62433
0.0615099 30.3641 56.8448 16.5766 0.306818 0.308339 9.88461 1.81246 1.62839
0.0644236 30.1412 56.4274 16.6684 0.306672 0.308193 9.66864 1.79294 1.63633
0.0674754 29.9126 55.9995 16.7639 0.306474 0.307995 9.45763 1.77309 1.64546
0.0706718 29.6782 55.5607 16.8631 0.306241 0.307761 9.26251 1.75297 1.65885
0.0740196 29.4372 55.1095 16.9665 0.305983 0.307502 9.07147 1.73308 1.67239
0.077526 29.1894 54.6455 17.0744 0.305672 0.30719 8.86787 1.71253 1.68948
0.0811984 28.9339 54.1673 17.1874 0.305336 0.306853 8.68789 1.69245 1.71086
0.0850449 28.671 53.675 17.3055 0.304957 0.306473 8.50812 1.67379 1.73024
0.0890735 28.4 53.1677 17.4292 0.304558 0.306073 8.34807 1.6555 1.75396
0.093293 28.1208 52.645 17.5588 0.304136 0.30565 8.19517 1.63839 1.77498
0.0977124 27.8332 52.1065 17.6947 0.303682 0.305195 8.04814 1.6229 1.79912
0.102341 27.5373 51.5527 17.8371 0.303232 0.304743 7.92593 1.60893 1.82016
0.107189 27.233 50.983 17.9863 0.302783 0.304293 7.84409 1.59867 1.83613
0.112267 26.9206 50.3982 18.1427 0.302326 0.303835 7.74765 1.58907 1.8499
0.117585 26.6001 49.7981 18.3064 0.301889 0.303397 7.67534 1.58159 1.86096
0.123155 26.272 49.1839 18.4776 0.301486 0.302992 7.63434 1.57738 1.86567
0.128989 25.9363 48.5554 18.6567 0.301101 0.302607 7.58212 1.57269 1.87236
0.135099 25.5933 47.9133 18.8439 0.30076 0.302264 7.5558 1.57143 1.87027
0.141499 25.2435 47.2585 19.0394 0.300467 0.301971 7.54723 1.57186 1.86521
0.148202 24.8868 46.5907 19.2437 0.30023 0.301733 7.52585 1.57206 1.86142
0.155223 24.5237 45.9108 19.457 0.300041 0.301543 7.51051 1.57305 1.85766
0.162576 24.1542 45.219 19.6798 0.299913 0.301415 7.50757 1.57472 1.85328
0.170277 23.7784 44.5157 19.9126 0.299837 0.301339 7.49579 1.57601 1.8501
0.178343 23.3971 43.8018 20.1555 0.299817 0.301319 7.47129 1.57617 1.848
0.186791 23.0102 43.0774 20.4091 0.299827 0.301329 7.42824 1.57498 1.85245
0.19564 22.6182 42.3436 20.6739 0.299873 0.301375 7.38952 1.5736 1.85671
0.204907 22.2218 41.6014 20.9499 0.299931 0.301433 7.34214 1.57114 1.86334
0.214614 21.8214 40.852 21.2375 0.299991 0.301493 7.29 1.56786 1.87169
0.224781 21.4181 40.0969 21.5367 0.300036 0.301539 7.23068 1.56356 1.88293
0.235429 21.0128 39.3381 21.8475 0.300035 0.301538 7.14682 1.55731 1.89979
0.246581 20.6063 38.5771 22.17 0.299989 0.301492 7.0627 1.55056 1.91748
0.258262 20.2001 37.8167 22.5035 0.299882 0.301384 6.98195 1.54315 1.93805
0.270496 19.7954 37.059 22.8477 0.299698 0.301199 6.9011 1.53636 1.95506
0.28331 19.3936 36.3068 23.2018 0.299441 0.300941 6.79649 1.52778 1.97921
0.29673 18.9955 35.5615 23.5655 0.29907 0.30057 6.7038 1.51951 2.00031
0.310787 18.6032 34.8271 23.9373 0.29861 0.300108 6.61096 1.51139 2.02184
0.325509 18.2176 34.1053 24.3162 0.29805 0.299546 6.51478 1.50251 2.04673
0.340929 17.8398 33.3979 24.7015 0.297392 0.298887 6.41804 1.49356 2.07169
0.357079 17.4709 32.7073 25.0916 0.296624 0.298117 6.33198 1.48572 2.09265
0.373994 17.1118 32.035 25.4855 0.295764 0.297254 6.22874 1.47615 2.1231
0.39171 16.7631 31.3822 25.8821 0.2948 0.296287 6.14579 1.46837 2.14181
0.410266 16.4253 30.7499 26.2802 0.29373 0.295214 6.04978 1.45924 2.16066
0.4297 16.0989 30.1387 26.6789 0.292567 0.294048 5.95288 1.44979 2.19613
0.450056 15.7834 29.5482 27.0778 0.291318 0.292795 5.87297 1.44203 2.21668
0.471375 15.4791 28.9784 27.4762 0.289969 0.291442 5.77424 1.43229 2.24686
0.493705 15.1852 28.4282 27.8741 0.288525 0.289994 5.69646 1.42451 2.26664
0.517092 14.9014 27.897 28.2712 0.287011 0.288475 5.61035 1.41611 2.29105
0.541587 14.627 27.3833 28.668 0.28541 0.28687 5.53389 1.40813 2.31215
0.567243 14.3611 26.8855 29.0652 0.283763 0.285217 5.44333 1.39894 2.34021
0.594113 14.1028 26.4018 29.4636 0.282033 0.283482 5.37769 1.39252 2.35459
0.622257 13.8505 25.9295 29.8652 0.280277 0.28172 5.28675 1.38265 2.38879
0.651734 13.6032 25.4666 30.2715 0.278494 0.279932 5.21457 1.3754 2.40677
0.682607 13.3598 25.0108 30.6843 0.2767 0.278132 5.14301 1.36746 2.42864
0.714943 13.1185 24.5591 31.1066 0.274892 0.276318 5.06459 1.35962 2.45351
0.74881 12.8784 24.1098 31.5404 0.273114 0.274535 4.98232 1.35078 2.48476
0.784282 12.6379 23.6594 31.9897 0.271364 0.272779 4.91421 1.34339 2.50896
0.821434 12.396 23.2065 32.4567 0.269646 0.271055 4.84576 1.33561 2.5356
0.860346 12.1515 22.7488 32.9452 0.268004 0.269408 4.76739 1.32772 2.56582
0.901102 11.9036 22.2847 33.4585 0.26643 0.267829 4.6959 1.31986 2.59723
0.943788 11.6512 21.8122 34.0006 0.264938 0.266332 4.629 1.3125 2.62698
0.988496 11.3939 21.3305 34.5749 0.263539 0.264928 4.5541 1.30403 2.66784
1.03532 11.1311 20.8386 35.1853 0.26223 0.263615 4.48107 1.29595 2.70796
1.08437 10.8626 20.3359 35.8356 0.261023 0.262404 4.4196 1.28857 2.74427
1.13573 10.5885 19.8227 36.5292 0.259914 0.261291 4.34586 1.28057 2.79015
1.18953 10.3085 19.2986 37.2707 0.258909 0.260282 4.2755 1.27237 2.83923
1.24588 10.0234 18.7647 38.0632 0.257988 0.259357 4.20264 1.26386 2.89323
1.3049 9.73358 18.2223 38.9099 0.257169 0.258536 4.13043 1.25602 2.94641
1.36672 9.43958 17.6719 39.8153 0.256417 0.257781 4.05039 1.24666 3.01496
1.43146 9.14229 17.1153 40.7825 0.255745 0.257107 3.97791 1.23826 3.07871
1.49927 8.84268 16.5544 41.8145 0.255124 0.256484 3.90544 1.22972 3.14705
1.57029 8.5417 15.9909 42.9148 0.254563 0.255921 3.8373 1.22141 3.21624
1.64468 8.24069 15.4274 44.0851 0.25403 0.255386 3.76091 1.21246 3.29457
1.72259 7.94072 14.8658 45.3284 0.253533 0.254887 3.68986 1.20386 3.37156
1.80419 7.64292 14.3083 46.6466 0.253047 0.2544 3.61545 1.19482 3.45889
1.88965 7.34878 13.7577 48.0401 0.252579 0.25393 3.54176 1.18564 3.54939
1.97917 7.05929 13.2157 49.5101 0.252106 0.253456 3.47697 1.17739 3.63225
2.07292 6.77577 12.6849 51.0559 0.25165 0.252998 3.40609 1.16874 3.72236
2.17112 6.49938 12.1675 52.6758 0.251187 0.252533 3.3383 1.16018 3.81557
2.27397 6.23115 11.6654 54.3674 0.250719 0.252063 3.2735 1.15184 3.90977
2.38169 5.97197 11.1801 56.1276 0.250256 0.251599 3.20644 1.14296 4.01258
2.49451 5.72281 10.7137 57.9506 0.249789 0.25113 3.14617 1.13534 4.10466
2.61268 5.4844 10.2674 59.8299 0.249334 0.250674 3.08622 1.12754 4.19836
2.73644 5.25737 9.84234 61.7573 0.248889 0.250227 3.02356 1.11923 4.30254
2.86607 5.04225 9.43962 63.723 0.248461 0.249797 2.9713 1.11228 4.3925
3.00184 4.83942 9.05988 65.7159 0.248053 0.249388 2.9172 1.10562 4.4837
3.14404 4.64911 8.70361 67.7232 0.247673 0.249007 2.87204 1.09887 4.57319
3.29297 4.4715 8.37111 69.7308 0.247328 0.248661 2.82622 1.09303 4.65413
3.44896 4.30653 8.06227 71.7248 0.247012 0.248343 2.78176 1.08714 4.73852
3.61234 4.15422 7.77713 73.6882 0.246734 0.248064 2.74358 1.08175 4.82119
3.78346 4.01436 7.5153 75.6054 0.246499 0.247828 2.70732 1.07693 4.89418
3.96269 3.88669 7.27628 77.4605 0.246286 0.247615 2.67561 1.07247 4.96344
4.1504 3.77082 7.05936 79.2388 0.246118 0.247446 2.64159 1.06802 5.03547
4.34701 3.66637 6.86382 80.926 0.245974 0.247301 2.61404 1.06418 5.09639
4.55294 3.57286 6.68876 82.5093 0.24586 0.247187 2.59074 1.06052 5.15443
4.76861 3.48973 6.53314 83.979 0.24578 0.247106 2.5723 1.05807 5.19638
4.99451 3.41642 6.3959 85.3269 0.245717 0.247044 2.55276 1.05543 5.2418
5.2311 3.35231 6.27587 86.548 0.245673 0.246999 2.5362 1.05303 5.28461
5.4789 3.2967 6.17176 87.6406 0.245635 0.246961 2.52189 1.05073 5.32487
5.73844 3.24895 6.08238 88.6048 0.24561 0.246936 2.51005 1.04913 5.35362
6.01028 3.20838 6.00641 89.4439 0.245598 0.246924 2.49799 1.04727 5.38588
6.29499 3.17428 5.94257 90.1636 0.245596 0.246922 2.48988 1.04625 5.40613
6.59319 3.14592 5.88949 90.7724 0.245593 0.246919 2.48414 1.04539 5.42053
6.90551 3.12269 5.84599 91.2785 0.245593 0.246919 2.47645 1.04458 5.43723
7.23263 3.10387 5.81077 91.6932 0.245589 0.246915 2.46966 1.04357 5.45588
7.57525 3.08889 5.78271 92.0266 0.245597 0.246923 2.46962 1.04331 5.46258
7.9341 3.07712 5.76069 92.2904 0.245597 0.246923 2.46462 1.0425 5.47641
8.30994 3.06804 5.74369 92.4952 0.245595 0.246921 2.46197 1.04251 5.47625
8.70359 3.06117 5.73082 92.6509 0.245594 0.24692 2.45998 1.04215 5.48353
9.11589 3.05605 5.72124 92.7672 0.2456 0.246926 2.45938 1.04211 5.48484
9.54772 3.05234 5.71429 92.8518 0.245601 0.246927 2.4589 1.04208 5.48665
10 3.04968 5.70932 92.9125 0.245596 0.246922 2.4561 1.04172 5.49036
