Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.00120679 0.285714 10.9415 20.4836 35.6416 0.303313 0.304824 6.50481 1.50015 2.10524
0.00120679 0.306122 9.92053 18.5722 38.3587 0.301552 0.303058 6.14856 1.46788 2.21155
0.00120679 0.326531 9.02712 16.8997 41.1721 0.299978 0.301481 5.8426 1.4383 2.32668
0.00120679 0.346939 8.23878 15.4238 44.0928 0.298577 0.300075 5.56861 1.41162 2.44563
0.00120679 0.367347 7.538 14.1119 47.1327 0.297357 0.298852 5.31385 1.38612 2.5742
0.00120679 0.387755 6.91097 12.938 50.305 0.296297 0.297789 5.09508 1.36391 2.70064
0.00120679 0.408163 6.34662 11.8815 53.6239 0.295395 0.296884 4.88744 1.34203 2.83826
0.00120679 0.428571 5.83601 10.9256 57.1055 0.294644 0.296131 4.70946 1.32289 2.97048
0.00120679 0.44898 5.37182 10.0566 60.7679 0.294041 0.295526 4.54179 1.30455 3.1088
0.00120679 0.469388 4.94798 9.26313 64.6314 0.293595 0.295079 4.39126 1.28811 3.24347
0.00120679 0.489796 4.55947 8.53579 68.7194 0.293283 0.294766 4.25771 1.27278 3.37889
0.00120679 0.510204 4.20204 7.86664 73.0584 0.293103 0.294585 4.12313 1.25768 3.52541
0.00120679 0.530612 3.8721 7.24897 77.6793 0.293057 0.294539 4.00945 1.24431 3.66438
0.00120679 0.55102 3.5666 6.67705 82.6178 0.293148 0.29463 3.89417 1.23086 3.81355
0.00120679 0.571429 3.28293 6.14599 87.9161 0.293366 0.294849 3.79888 1.21966 3.946
0.00120679 0.591837 3.01883 5.65156 93.6237 0.293715 0.295199 3.70319 1.20804 4.09476
0.00120679 0.612245 2.77234 5.1901 99.8 0.294172 0.295658 3.61633 1.19743 4.23968
0.00120679 0.632653 2.54175 4.75842 106.516 0.294756 0.296243 3.53248 1.18697 4.39026
0.00120679 0.653061 2.32558 4.35372 113.859 0.295462 0.296951 3.45732 1.17786 4.53204
0.00120679 0.673469 2.12251 3.97356 121.935 0.296271 0.297762 3.38362 1.16893 4.6832
0.00120679 0.693878 1.9314 3.61577 130.876 0.297205 0.298699 3.31881 1.16049 4.83139
0.00120679 0.714286 1.7512 3.27843 140.852 0.298237 0.299734 3.26161 1.15299 4.97205
0.00120679 0.734694 1.58103 2.95984 152.076 0.29938 0.300881 3.19749 1.14498 5.13214
0.00120679 0.755102 1.42005 2.65848 164.83 0.300636 0.30214 3.14319 1.13831 5.27748
0.00120679 0.77551 1.26755 2.37298 179.49 0.301988 0.303496 3.093 1.13202 5.42348
0.00120679 0.795918 1.12288 2.10214 196.57 0.30345 0.304962 3.04622 1.12586 5.57169
0.00120679 0.816327 0.985437 1.84484 216.792 0.305011 0.306528 3.00245 1.12 5.72303
0.00120679 0.836735 0.854707 1.6001 241.214 0.306671 0.308192 2.96147 1.11462 5.87246
0.00120679 0.857143 0.730205 1.36702 271.445 0.308433 0.309959 2.91991 1.10932 6.02892
0.00120679 0.877551 0.611497 1.14478 310.077 0.310304 0.311835 2.88353 1.10449 6.18107
0.00120679 0.897959 0.498188 0.932658 361.593 0.312266 0.313802 2.84659 1.09925 6.34596
0.00120679 0.918367 0.389917 0.729965 434.546 0.314334 0.315876 2.81562 1.09524 6.49781
0.00120679 0.938776 0.286357 0.53609 547.752 0.316495 0.318043 2.78258 1.09112 6.65588
0.00120679 0.959184 0.187206 0.350469 753.399 0.318756 0.320309 2.75765 1.08737 6.8127
0.00120679 0.979592 0.092189 0.172587 1281.61 0.321148 0.322707 2.72752 1.08365 6.97578
0.00120679 1 0.00105228 0.00196997 36700.1 0.323625 0.325191 2.70245 1.08032 7.13937
0.00145635 0 8430.56 15782.9 0.24371 0.353264 0.354898 146.756 2.54488 33.0559
0.00145635 0.0204082 205.269 384.284 3.95387 0.347094 0.348715 52.7724 2.60617 10.5754
0.00145635 0.0408163 101.738 190.464 6.6935 0.341083 0.342691 31.7595 2.45302 5.36687
0.00145635 0.0612245 66.6495 124.775 9.19216 0.335774 0.337369 22.9547 2.29447 3.49949
0.00145635 0.0816327 48.996 91.7255 11.5783 0.331062 0.332646 18.1076 2.15579 2.63581
0.00145635 0.102041 38.3692 71.8311 13.9084 0.326827 0.328401 15.0241 2.03761 2.18406
0.00145635 0.122449 31.2704 58.5414 16.2149 0.323002 0.324566 12.9063 1.93854 1.93969
0.00145635 0.142857 26.193 49.0359 18.5194 0.319512 0.321067 11.3721 1.85342 1.81696
0.00145635 0.163265 22.3812 41.8999 20.8378 0.316336 0.317883 10.1816 1.7808 1.76246
0.00145635 0.183673 19.4144 36.3458 23.1831 0.313436 0.314975 9.24053 1.71713 1.76307
0.00145635 0.204082 17.0396 31.9 25.5664 0.310785 0.312317 8.46343 1.66117 1.79528
0.00145635 0.22449 15.0958 28.2609 27.9977 0.308359 0.309885 7.8217 1.61138 1.85547
0.00145635 0.244898 13.4754 25.2274 30.4865 0.306146 0.307665 7.28966 1.56733 1.93386
0.00145635 0.265306 12.1039 22.6598 33.0423 0.304131 0.305645 6.83296 1.52826 2.02431
0.00145635 0.285714 10.9281 20.4585 35.6744 0.302305 0.303814 6.43344 1.49244 2.1281
0.00145635 0.306122 9.90885 18.5504 38.3926 0.300664 0.302169 6.0859 1.45953 2.24382
0.00145635 0.326531 9.01688 16.8805 41.2072 0.299184 0.300684 5.77554 1.43055 2.36123
0.00145635 0.346939 8.22974 15.4069 44.1291 0.297863 0.299359 5.49904 1.40298 2.49019
0.00145635 0.367347 7.52999 14.0969 47.1704 0.296701 0.298194 5.26441 1.3789 2.61694
