Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.011514 0.285714 10.5711 19.7902 36.5741 0.293855 0.29534 6.01877 1.38765 2.29228
0.011514 0.306122 9.60211 17.9761 39.3088 0.29258 0.294061 5.75584 1.36594 2.39928
0.011514 0.326531 8.7515 16.3837 42.1408 0.291388 0.292865 5.52475 1.34622 2.50745
0.011514 0.346939 7.99888 14.9747 45.081 0.290261 0.291735 5.30684 1.32762 2.61563
0.011514 0.367347 7.32824 13.7192 48.141 0.28922 0.290691 5.12292 1.31129 2.72039
0.011514 0.387755 6.7269 12.5934 51.3339 0.288235 0.289703 4.93974 1.29462 2.84104
0.011514 0.408163 6.18465 11.5783 54.6737 0.287328 0.288793 4.77906 1.27998 2.95135
0.011514 0.428571 5.6932 10.6582 58.1765 0.286485 0.287948 4.63851 1.26692 3.05673
0.011514 0.44898 5.24573 9.82055 61.8601 0.285701 0.287161 4.50243 1.25444 3.16262
0.011514 0.469388 4.83661 9.05463 65.7444 0.284979 0.286437 4.36638 1.24134 3.28363
0.011514 0.489796 4.46111 8.35166 69.8526 0.28432 0.285775 4.25189 1.23015 3.39499
0.011514 0.510204 4.11526 7.70418 74.2108 0.28372 0.285174 4.13831 1.21936 3.50405
0.011514 0.530612 3.79567 7.10589 78.8494 0.283164 0.284616 4.03902 1.20954 3.6099
0.011514 0.55102 3.49949 6.5514 83.8034 0.282672 0.284123 3.94258 1.19994 3.71707
0.011514 0.571429 3.22421 6.03606 89.1142 0.282239 0.283689 3.84882 1.19033 3.83296
0.011514 0.591837 2.96772 5.55588 94.8303 0.281845 0.283293 3.76388 1.18165 3.94097
0.011514 0.612245 2.72816 5.10739 101.01 0.281512 0.28296 3.68691 1.17369 4.04322
0.011514 0.632653 2.5039 4.68755 107.722 0.281221 0.282668 3.60895 1.16566 4.1543
0.011514 0.653061 2.29352 4.29371 115.05 0.28098 0.282426 3.54075 1.15858 4.25209
0.011514 0.673469 2.09579 3.92353 123.099 0.280792 0.282237 3.47175 1.15142 4.35907
0.011514 0.693878 1.90958 3.57494 131.996 0.280641 0.282085 3.40429 1.1442 4.47061
0.011514 0.714286 1.73394 3.24611 141.903 0.280534 0.281978 3.34841 1.13813 4.56812
