Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
1.04811 0.326531 5.16783 9.6747 62.5582 0.249128 0.250467 3.09544 1.11724 4.15695
1.04811 0.346939 4.86745 9.11236 65.4318 0.248352 0.249688 3.01477 1.10731 4.2907
1.04811 0.367347 4.58793 8.58908 68.3994 0.247616 0.24895 2.94002 1.0982 4.42075
1.04811 0.387755 4.32713 8.10083 71.4685 0.246938 0.248269 2.86872 1.0892 4.55628
1.04811 0.408163 4.08325 7.64427 74.6466 0.246299 0.247628 2.80242 1.08115 4.68106
1.04811 0.428571 3.85468 7.21636 77.9424 0.245714 0.24704 2.73982 1.07336 4.80349
1.04811 0.44898 3.64007 6.81459 81.364 0.245172 0.246496 2.68444 1.06614 4.92209
1.04811 0.469388 3.43813 6.43653 84.9226 0.244658 0.245981 2.62881 1.05906 5.04247
1.04811 0.489796 3.24779 6.0802 88.6286 0.244202 0.245523 2.57375 1.05174 5.17276
1.04811 0.510204 3.06807 5.74375 92.4945 0.24378 0.245099 2.52497 1.04555 5.28408
1.04811 0.530612 2.89812 5.42558 96.5334 0.243404 0.244722 2.47636 1.03915 5.40406
1.04811 0.55102 2.73715 5.12423 100.761 0.243057 0.244374 2.43317 1.03365 5.51256
1.04811 0.571429 2.58449 4.83843 105.192 0.242745 0.24406 2.39204 1.02798 5.62332
1.04811 0.591837 2.43949 4.56698 109.848 0.242475 0.24379 2.34993 1.02239 5.74009
1.04811 0.612245 2.30157 4.30878 114.748 0.242253 0.243567 2.31467 1.0175 5.84283
1.04811 0.632653 2.17027 4.06297 119.917 0.242051 0.243364 2.27782 1.0125 5.95119
1.04811 0.653061 2.0451 3.82864 125.38 0.241891 0.243203 2.23965 1.00759 6.06364
1.04811 0.673469 1.92564 3.605 131.17 0.241751 0.243063 2.2064 1.00274 6.17396
1.04811 0.693878 1.81153 3.39137 137.319 0.241667 0.242979 2.17113 0.998357 6.27962
1.04811 0.714286 1.70238 3.18704 143.87 0.241596 0.242907 2.14134 0.994012 6.38217
1.04811 0.734694 1.5979 2.99144 150.87 0.241573 0.242884 2.1136 0.990191 6.47909
1.04811 0.755102 1.49776 2.80396 158.374 0.241569 0.24288 2.08261 0.986049 6.58785
1.04811 0.77551 1.40177 2.62426 166.44 0.241608 0.24292 2.05994 0.982458 6.68105
1.04811 0.795918 1.30961 2.45172 175.149 0.241675 0.242987 2.03378 0.97886 6.77864
1.04811 0.816327 1.22107 2.28596 184.591 0.241769 0.243081 2.01005 0.97555 6.87556
1.04811 0.836735 1.13594 2.12659 194.872 0.24189 0.243203 1.98534 0.971951 6.97337
1.04811 0.857143 1.05403 1.97326 206.122 0.242049 0.243362 1.96173 0.968753 7.07364
1.04811 0.877551 0.975179 1.82563 218.5 0.242242 0.243556 1.9381 0.965577 7.17007
1.04811 0.897959 0.899191 1.68338 232.207 0.242446 0.24376 1.9192 0.962846 7.25941
1.04811 0.918367 0.825914 1.54619 247.494 0.242695 0.24401 1.8992 0.959909 7.35161
1.04811 0.938776 0.75522 1.41385 264.673 0.242975 0.244291 1.88093 0.956856 7.45133
1.04811 0.959184 0.686966 1.28607 284.16 0.24327 0.244588 1.86098 0.954157 7.54474
1.04811 0.979592 0.621028 1.16263 306.501 0.243597 0.244916 1.84429 0.951524 7.63779
1.04811 1 0.557283 1.04329 332.436 0.243961 0.245281 1.82454 0.948972 7.73122
1.09854 0 16.7916 31.4355 25.8492 0.26939 0.270798 5.93854 1.4095 1.9213
1.09854 0.0204082 15.1815 28.4213 27.8792 0.267381 0.268783 5.56088 1.37571 2.05523
1.09854 0.0408163 13.811 25.8556 29.9292 0.265492 0.266888 5.23702 1.34562 2.19347
1.09854 0.0612245 12.6308 23.6462 32.003 0.263721 0.26511 4.95825 1.31891 2.33343
1.09854 0.0816327 11.6032 21.7224 34.106 0.262055 0.263439 4.70851 1.29439 2.47973
1.09854 0.102041 10.7011 20.0336 36.2404 0.260484 0.261863 4.49739 1.27262 2.6212
1.09854 0.122449 9.90233 18.5382 38.4116 0.259001 0.260374 4.29781 1.25216 2.76841
1.09854 0.142857 9.19031 17.2052 40.6226 0.25761 0.258979 4.12085 1.23357 2.91345
1.09854 0.163265 8.55174 16.0097 42.877 0.256289 0.257653 3.95837 1.21602 3.06349
1.09854 0.183673 7.97574 14.9314 45.179 0.255052 0.256412 3.81399 1.2002 3.20658
1.09854 0.204082 7.45358 13.9539 47.5326 0.253879 0.255235 3.6822 1.18554 3.35033
1.09854 0.22449 6.9781 13.0637 49.9415 0.252773 0.254125 3.55749 1.17156 3.49305
1.09854 0.244898 6.54319 12.2495 52.4111 0.251731 0.253079 3.44801 1.15864 3.63477
1.09854 0.265306 6.14395 11.5021 54.9451 0.250752 0.252097 3.3404 1.14653 3.77338
1.09854 0.285714 5.77627 10.8138 57.5479 0.249831 0.251173 3.25022 1.13568 3.9024
1.09854 0.306122 5.43628 10.1773 60.2266 0.248964 0.250303 3.16008 1.12506 4.03392
1.09854 0.326531 5.12124 9.58749 62.9845 0.248154 0.249489 3.07638 1.11476 4.172
1.09854 0.346939 4.82844 9.03934 65.8279 0.247395 0.248728 2.9969 1.10536 4.30429
1.09854 0.367347 4.55551 8.52838 68.7642 0.24669 0.24802 2.92568 1.0965 4.42885
1.09854 0.387755 4.30056 8.0511 71.7994 0.246027 0.247355 2.85729 1.08806 4.55433
1.09854 0.408163 4.06186 7.60423 74.9412 0.245414 0.246739 2.79128 1.07975 4.67975
1.09854 0.428571 3.83792 7.18497 78.1976 0.244843 0.246166 2.72939 1.07211 4.80322
1.09854 0.44898 3.6274 6.79087 81.577 0.244325 0.245646 2.67641 1.06491 4.91982
1.09854 0.469388 3.42913 6.41969 85.0896 0.243849 0.245169 2.61824 1.05783 5.0449
1.09854 0.489796 3.24206 6.06947 88.7461 0.24341 0.244728 2.56752 1.051 5.16153
1.09854 0.510204 3.06529 5.73854 92.5573 0.24301 0.244327 2.521 1.04483 5.2787
1.09854 0.530612 2.898 5.42535 96.5364 0.242653 0.243968 2.47635 1.03888 5.38975
1.09854 0.55102 2.73941 5.12845 100.698 0.242344 0.243659 2.43132 1.03321 5.49834
1.09854 0.571429 2.58888 4.84664 105.059 0.242063 0.243376 2.38957 1.02756 5.61135
1.09854 0.591837 2.4458 4.57879 109.635 0.241828 0.24314 2.34609 1.02208 5.72643
1.09854 0.612245 2.30965 4.3239 114.447 0.241617 0.242928 2.31243 1.01753 5.82319
1.09854 0.632653 2.17992 4.08104 119.518 0.241458 0.242769 2.27503 1.01219 5.93835
1.09854 0.653061 2.05618 3.84938 124.873 0.241324 0.242634 2.23997 1.00769 6.04212
1.09854 0.673469 1.93801 3.62816 130.541 0.241236 0.242546 2.20758 1.00301 6.14697
1.09854 0.693878 1.82506 3.4167 136.555 0.241177 0.242486 2.17628 0.998682 6.25446
1.09854 0.714286 1.71698 3.21435 142.953 0.241141 0.24245 2.14577 0.994505 6.35378
1.09854 0.734694 1.61343 3.0205 149.78 0.241152 0.242462 2.11479 0.990456 6.458
