Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
14.3845 0.210526 3.04448 5.69958 93.0315 0.245516 0.246842 2.52718 1.0458 5.33016
14.3845 0.263158 3.04447 5.69955 93.0318 0.245515 0.246841 2.52521 1.04589 5.32944
14.3845 0.315789 3.04445 5.69953 93.0321 0.245518 0.246844 2.52566 1.04578 5.33041
14.3845 0.368421 3.04445 5.69952 93.0322 0.245512 0.246837 2.52697 1.04578 5.32998
14.3845 0.421053 3.04443 5.69948 93.0327 0.245516 0.246841 2.5279 1.04609 5.32335
14.3845 0.473684 3.04442 5.69946 93.033 0.245514 0.24684 2.52835 1.04591 5.32675
14.3845 0.526316 3.04441 5.69946 93.033 0.245517 0.246843 2.52648 1.04598 5.32547
14.3845 0.578947 3.0444 5.69944 93.0332 0.245524 0.24685 2.52726 1.04607 5.32577
14.3845 0.631579 3.04439 5.69941 93.0335 0.245513 0.246839 2.52601 1.04605 5.32544
14.3845 0.684211 3.04438 5.6994 93.0337 0.245515 0.246841 2.52959 1.0462 5.32062
14.3845 0.736842 3.04437 5.69937 93.034 0.245515 0.246841 2.52939 1.04624 5.31953
14.3845 0.789474 3.04436 5.69936 93.0342 0.245518 0.246844 2.52553 1.04593 5.3292
14.3845 0.842105 3.04434 5.69932 93.0346 0.245519 0.246844 2.52499 1.04592 5.32965
14.3845 0.894737 3.04434 5.69932 93.0347 0.245513 0.246839 2.52415 1.04577 5.33298
14.3845 0.947368 3.04433 5.6993 93.0349 0.245515 0.246841 2.52873 1.04631 5.32132
14.3845 1 3.04432 5.69928 93.0351 0.245513 0.246839 2.52835 1.04615 5.32385
16.2378 0 3.04443 5.69949 93.0326 0.245515 0.246841 2.52908 1.04606 5.32533
16.2378 0.0526316 3.04443 5.69949 93.0326 0.245515 0.246841 2.53081 1.04631 5.31919
16.2378 0.105263 3.04443 5.69949 93.0326 0.245519 0.246845 2.52561 1.04576 5.33178
16.2378 0.157895 3.04443 5.69948 93.0327 0.245512 0.246838 2.52595 1.04602 5.32687
16.2378 0.210526 3.04443 5.69948 93.0328 0.245516 0.246841 2.52759 1.04603 5.32655
16.2378 0.263158 3.04442 5.69946 93.0329 0.24552 0.246846 2.52982 1.04634 5.31883
16.2378 0.315789 3.04443 5.69948 93.0327 0.245512 0.246838 2.52881 1.04619 5.32008
16.2378 0.368421 3.04442 5.69947 93.0329 0.245518 0.246844 2.52584 1.04574 5.33034
16.2378 0.421053 3.04442 5.69947 93.0329 0.245517 0.246842 2.52927 1.0462 5.32464
16.2378 0.473684 3.04441 5.69945 93.0331 0.245517 0.246843 2.52833 1.04605 5.32687
16.2378 0.526316 3.04441 5.69945 93.0331 0.24551 0.246836 2.52651 1.046 5.32503
16.2378 0.578947 3.04442 5.69946 93.033 0.245517 0.246843 2.52703 1.04603 5.32742
16.2378 0.631579 3.04441 5.69944 93.0332 0.245506 0.246832 2.52857 1.04613 5.32385
16.2378 0.684211 3.04441 5.69945 93.0331 0.245508 0.246834 2.52829 1.04609 5.32369
16.2378 0.736842 3.04441 5.69945 93.0331 0.245514 0.246839 2.52609 1.04573 5.33245
16.2378 0.789474 3.0444 5.69943 93.0333 0.245515 0.246841 2.52887 1.04632 5.32033
16.2378 0.842105 3.04441 5.69944 93.0332 0.245516 0.246842 2.52508 1.04581 5.33088
16.2378 0.894737 3.0444 5.69943 93.0333 0.245508 0.246833 2.5284 1.04592 5.32765
16.2378 0.947368 3.0444 5.69944 93.0332 0.245515 0.246841 2.5258 1.04586 5.3276
16.2378 1 3.0444 5.69943 93.0333 0.245518 0.246843 2.52795 1.04601 5.32596
18.3298 0 3.04442 5.69947 93.0329 0.245516 0.246841 2.52701 1.04606 5.32574
18.3298 0.0526316 3.04441 5.69945 93.0331 0.245517 0.246843 2.52913 1.04621 5.32213
18.3298 0.105263 3.04441 5.69945 93.0331 0.245516 0.246842 2.52788 1.04618 5.32458
18.3298 0.157895 3.04442 5.69946 93.0329 0.245514 0.24684 2.52722 1.04611 5.32439
18.3298 0.210526 3.04442 5.69946 93.0329 0.245517 0.246843 2.53075 1.04627 5.31991
18.3298 0.263158 3.04442 5.69946 93.0329 0.245513 0.246839 2.52448 1.04595 5.33027
18.3298 0.315789 3.04441 5.69945 93.033 0.245511 0.246837 2.5248 1.04579 5.32989
18.3298 0.368421 3.04441 5.69945 93.0331 0.245509 0.246835 2.5249 1.04578 5.32596
18.3298 0.421053 3.04442 5.69946 93.0329 0.245514 0.24684 2.5305 1.04628 5.32207
18.3298 0.473684 3.04441 5.69945 93.033 0.245514 0.24684 2.52772 1.04598 5.32686
18.3298 0.526316 3.04442 5.69946 93.0329 0.245512 0.246838 2.53113 1.0463 5.32026
